code,description,category,body_part
C34.2,Malignant neoplasm of middle lobe bronchus or lung,malignant,lung
C34.30,Malignant neoplasm of lower lobe unspecified bronchus or lung,malignant,lung
C34.31,Malignant neoplasm of lower lobe right bronchus or lung,malignant,lung
C34.32,Malignant neoplasm of lower lobe left bronchus or lung,malignant,lung
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,malignant,lung
C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,malignant,lung
C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,malignant,lung
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,malignant,lung
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,malignant,lung
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,malignant,lung
C78.00,Secondary malignant neoplasm of unspecified lung,metastatic,lung
C78.01,Secondary malignant neoplasm of right lung,metastatic,lung
C78.02,Secondary malignant neoplasm of left lung,metastatic,lung
D14.30,Benign neoplasm of unspecified bronchus and lung,benign,lung
D14.31,Benign neoplasm of right bronchus and lung,benign,lung
D14.32,Benign neoplasm of left bronchus and lung,benign,lung
D38.1,Neoplasm of uncertain behavior of trachea bronchus and lung,uncertain,lung
R91.1,Solitary pulmonary nodule,finding,lung
R91.8,Other nonspecific abnormal finding of lung field,finding,lung
Z12.2,Encounter for screening for malignant neoplasm of respiratory organs,screening,lung
Z87.39,Personal history of other diseases of the musculoskeletal system and connective tissue,history,lung
Z80.1,Family history of malignant neoplasm of trachea bronchus and lung,history,lung
C71.0,Malignant neoplasm of cerebrum except lobes and ventricles,malignant,brain
C71.1,Malignant neoplasm of frontal lobe,malignant,brain
C71.2,Malignant neoplasm of temporal lobe,malignant,brain
C71.3,Malignant neoplasm of parietal lobe,malignant,brain
C71.4,Malignant neoplasm of occipital lobe,malignant,brain
C71.5,Malignant neoplasm of cerebral ventricle,malignant,brain
C71.6,Malignant neoplasm of cerebellum,malignant,brain
C71.7,Malignant neoplasm of brain stem,malignant,brain
C71.8,Malignant neoplasm of overlapping sites of brain,malignant,brain
C71.9,Malignant neoplasm of brain unspecified,malignant,brain
C79.31,Secondary malignant neoplasm of brain,metastatic,brain
C79.32,Secondary malignant neoplasm of cerebral meninges,metastatic,brain
D33.0,Benign neoplasm of brain supratentorial,benign,brain
D33.1,Benign neoplasm of brain infratentorial,benign,brain
D33.2,Benign neoplasm of brain unspecified,benign,brain
D33.3,Benign neoplasm of cranial nerves,benign,brain
D33.4,Benign neoplasm of spinal cord,benign,brain
D33.7,Benign neoplasm of other specified parts of central nervous system,benign,brain
D33.9,Benign neoplasm of central nervous system unspecified,benign,brain
D43.0,Neoplasm of uncertain behavior of brain supratentorial,uncertain,brain
D43.1,Neoplasm of uncertain behavior of brain infratentorial,uncertain,brain
D43.2,Neoplasm of uncertain behavior of brain unspecified,uncertain,brain
D43.3,Neoplasm of uncertain behavior of cranial nerves,uncertain,brain
D43.4,Neoplasm of uncertain behavior of spinal cord,uncertain,brain
D43.8,Neoplasm of uncertain behavior of other specified parts of central nervous system,uncertain,brain
D43.9,Neoplasm of uncertain behavior of central nervous system unspecified,uncertain,brain
G93.5,Compression of brain,finding,brain
G93.6,Cerebral edema,finding,brain
G93.89,Other specified disorders of brain,finding,brain
G93.9,Disorder of brain unspecified,finding,brain
R90.0,Intracranial space-occupying lesion found on diagnostic imaging of central nervous system,finding,brain
R90.81,Abnormal echoencephalogram,finding,brain
R90.82,White matter disease unspecified,finding,brain
R90.89,Other abnormal findings on diagnostic imaging of central nervous system,finding,brain
Z80.7,Family history of malignant neoplasm of other organs or systems,history,brain
Z85.841,Personal history of malignant neoplasm of brain,history,brain
